,Ors,Odor,Response
7,ac4,1,0.0068
9,Or2a,1,0.0006
10,Or7a,1,0.0156
11,Or9a,1,0.0034
12,Or10a,1,-0.0025
13,Or13a,1,0.0146
14,Or19a,1,0.0235
15,Or22a,1,0.0149
18,Or23a,1,-0.0035
22,Or33b,1,0.0073
24,Or35a,1,0.0161
26,Or42b,1,-0.0056
27,Or43a,1,-0.0151
28,Or43b,1,0.0009
32,Or47a,1,0.0034
33,Or47b,1,-0.0047
35,Or49b,1,0.003
37,Or59b,1,-0.0038
39,Or65a,1,-0.0024
40,Or67a,1,0.0181
41,Or67b,1,0.01
42,Or67c,1,0.0079
46,Or82a,1,0.0149
47,Or85a,1,-0.0007
48,Or85b,1,0.0251
52,Or85f,1,0.0012
53,Or88a,1,0.0032
54,Or92a,1,-0.0046
57,Or98a,1,0.0647
58,Gr21a.Gr63a,1,0.0203
60,ab4B,1,0.0154
63,Or69a,1,0.1192
64,ac1,1,0.0158
65,ac2,1,0.0028
66,ac3_noOr35a,1,0.0214
78,Or83c,1,0.0092
