"","ORs","Odor","Response"
"9","Or2a","XMGQYMWWDOXHJM-UHFFFAOYSA-N",0.008
"10","Or7a","XMGQYMWWDOXHJM-UHFFFAOYSA-N",0.05
"11","Or9a","XMGQYMWWDOXHJM-UHFFFAOYSA-N",0.02
"12","Or10a","XMGQYMWWDOXHJM-UHFFFAOYSA-N",-0.001
"14","Or19a","XMGQYMWWDOXHJM-UHFFFAOYSA-N",0.201
"15","Or22a","XMGQYMWWDOXHJM-UHFFFAOYSA-N",0.061
"18","Or23a","XMGQYMWWDOXHJM-UHFFFAOYSA-N",-0.009
"22","Or33b","XMGQYMWWDOXHJM-UHFFFAOYSA-N",0.009
"24","Or35a","XMGQYMWWDOXHJM-UHFFFAOYSA-N",0.145
"27","Or43a","XMGQYMWWDOXHJM-UHFFFAOYSA-N",-0.029
"28","Or43b","XMGQYMWWDOXHJM-UHFFFAOYSA-N",0.003
"32","Or47a","XMGQYMWWDOXHJM-UHFFFAOYSA-N",0.056
"33","Or47b","XMGQYMWWDOXHJM-UHFFFAOYSA-N",-0.013
"35","Or49b","XMGQYMWWDOXHJM-UHFFFAOYSA-N",0.016
"37","Or59b","XMGQYMWWDOXHJM-UHFFFAOYSA-N",-0.018
"39","Or65a","XMGQYMWWDOXHJM-UHFFFAOYSA-N",-0.01
"40","Or67a","XMGQYMWWDOXHJM-UHFFFAOYSA-N",-0.009
"42","Or67c","XMGQYMWWDOXHJM-UHFFFAOYSA-N",0.011
"46","Or82a","XMGQYMWWDOXHJM-UHFFFAOYSA-N",-0.001
"47","Or85a","XMGQYMWWDOXHJM-UHFFFAOYSA-N",0.011
"48","Or85b","XMGQYMWWDOXHJM-UHFFFAOYSA-N",0.097
"52","Or85f","XMGQYMWWDOXHJM-UHFFFAOYSA-N",0.004
"53","Or88a","XMGQYMWWDOXHJM-UHFFFAOYSA-N",0.004
"54","Or92a","XMGQYMWWDOXHJM-UHFFFAOYSA-N",-0.014
"57","Or98a","XMGQYMWWDOXHJM-UHFFFAOYSA-N",0.091
"58","Gr21a.Gr63a","XMGQYMWWDOXHJM-UHFFFAOYSA-N",0.009
"60","ab4B","XMGQYMWWDOXHJM-UHFFFAOYSA-N",0.242
