"","glomCentroids.glomerulus","glomCentroids.xs","glomCentroids.ys","glomCentroids.zs"
"1","D",31.273707212834,18.965897646372,2
"2","DA1",46.8480973405595,37.1490852994743,1
"3","DA2",20.7265361092303,30.6266295742574,1
"4","DA3",36.0378002119816,27.2162202718894,1
"5","DA4l",31.9096821733304,34.2368956381152,1
"6","DA4m",27.1218195330565,24.2728204397956,1
"7","DC1",34.8434997083569,24.500335808904,3
"8","DC2",30.8734828246995,32.1711483999827,3
"9","DC3",40.0173844056212,35.9760121510699,2
"10","DC4",23.7075712359932,20.3772766155442,4
"11","DL1",42.275785619291,18.508542077611,2
"12","DL2d",49.5460624637496,15.8697213813478,2
"13","DL2v",54.0610240245237,28.3963552014714,3
"14","DL3",46.4669980921659,24.344804235023,1
"15","DL4",38.2340649124424,23.3098168617512,1
"16","DL5",29.8833964916574,7.99958106599926,2
"17","DM1",21.3390819050797,12.7467148353726,3
"18","DM2",18.0239708647425,21.5330808758725,3
"19","DM3",18.5519301945834,12.6778800612386,2
"20","DM4",14.8359271275394,15.3746739970792,4
"21","DM5",18.5110327021317,32.1665089837766,3
"22","DM6",18.3435859468935,27.4264301104657,2
"23","DP1l",56.0030915589511,18.2256500514997,3
"24","DP1m",37.9661687116325,10.4844295982405,3
"25","V",38.9495979589254,48.2843046388341,5
"26","VA1d",37.2943549710224,46.2661234789502,1
"27","VA1v",44.7927205109381,52.8749199462366,2
"28","VA2",18.6853881007357,48.7595463759668,4
"29","VA3",31.418283843318,53.8831178018433,4
"30","VA4",35.3803688213545,47.5952630332013,4
"31","VA5",47.4029286084431,53.9241860743699,3
"32","VA6",24.9521384301075,40.226381887757,1
"33","VA7l",33.5523043785914,51.6613330458459,2
"34","VC1",37.589646925863,37.5930531075269,3
"35","VC2",40.3126277783456,44.0938414605557,3
"36","VC3",24.8246792533484,34.4240287000566,4
"37","VC4",21.8672177932466,38.5303490169779,4
"38","VC5",22.1172149160013,28.3543080463111,5
"39","VL1",55.3804502995921,42.0918146648128,3
"40","VL2a",51.4749076625443,37.8962151764248,2
"41","VL2p",63.4290621305414,30.8389305646105,3
"42","VM2",10.8382369889882,38.363659857624,4
"43","VM3",17.2351039437818,44.6810307875739,5
"44","VM4",31.6334933110734,47.3457118285229,5
"45","VM5d",15.4989869310238,34.4826779171248,4
"46","VM5v",24.7480150450858,42.0909503857763,2
"47","VM7d",16.3532571287363,27.544365309559,4
"48","VM7v",22.2378536232673,31.3172039954657,4
"49","VP1",30.9332549626329,35.303048642488,5
"50","VP4",35.5616620732601,20.9498064715822,5
"51","VM1",20.9679843494911,45.2841460567535,5
