"","ORs","Odor","Response"
"7","ac4","NMRPBPVERJPACX-UHFFFAOYSA-N",-0.02
"8","Or1a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.128
"9","Or2a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.133
"10","Or7a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.032
"12","Or10a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.118
"13","Or13a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.579
"14","Or19a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.374
"15","Or22a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.337
"20","Or30a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.022
"21","Or33a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.03
"22","Or33b","NMRPBPVERJPACX-UHFFFAOYSA-N",-0.043
"23","Or33c","NMRPBPVERJPACX-UHFFFAOYSA-N",0.153
"24","Or35a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.434
"25","Or42a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.094
"26","Or42b","NMRPBPVERJPACX-UHFFFAOYSA-N",0.063
"29","Or45a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.243
"30","Or45b","NMRPBPVERJPACX-UHFFFAOYSA-N",0.019
"31","Or46a","NMRPBPVERJPACX-UHFFFAOYSA-N",-0.098
"32","Or47a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.468
"33","Or47b","NMRPBPVERJPACX-UHFFFAOYSA-N",-0.06
"34","Or49a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.115
"35","Or49b","NMRPBPVERJPACX-UHFFFAOYSA-N",0.03
"36","Or59a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.125
"37","Or59b","NMRPBPVERJPACX-UHFFFAOYSA-N",0.022
"38","Or59c","NMRPBPVERJPACX-UHFFFAOYSA-N",0.204
"40","Or67a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.319
"41","Or67b","NMRPBPVERJPACX-UHFFFAOYSA-N",0.123
"42","Or67c","NMRPBPVERJPACX-UHFFFAOYSA-N",0.048
"44","Or71a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.01
"45","Or74a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.056
"46","Or82a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.055
"48","Or85b","NMRPBPVERJPACX-UHFFFAOYSA-N",0.676
"49","Or85c","NMRPBPVERJPACX-UHFFFAOYSA-N",0.846
"50","Or85d","NMRPBPVERJPACX-UHFFFAOYSA-N",0.369
"51","Or85e","NMRPBPVERJPACX-UHFFFAOYSA-N",0.149
"54","Or92a","NMRPBPVERJPACX-UHFFFAOYSA-N",-0.019
"55","Or94a","NMRPBPVERJPACX-UHFFFAOYSA-N",-0.022
"56","Or94b","NMRPBPVERJPACX-UHFFFAOYSA-N",0.138
"57","Or98a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.592
"58","Gr21a.Gr63a","NMRPBPVERJPACX-UHFFFAOYSA-N",-0.012
"59","ab2B","NMRPBPVERJPACX-UHFFFAOYSA-N",0.036
"60","ab4B","NMRPBPVERJPACX-UHFFFAOYSA-N",0.241
"61","ab5B","NMRPBPVERJPACX-UHFFFAOYSA-N",0.213
"63","Or69a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.741
"64","ac1","NMRPBPVERJPACX-UHFFFAOYSA-N",0.031
"65","ac2","NMRPBPVERJPACX-UHFFFAOYSA-N",0.061
"66","ac3_noOr35a","NMRPBPVERJPACX-UHFFFAOYSA-N",0.059
"78","Or83c","NMRPBPVERJPACX-UHFFFAOYSA-N",0.046
