"","ORs","Odor","Response"
"1","ac1A","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.027
"2","ac1B","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.031
"3","ac2A","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",-0.033
"4","ac2B","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",-0.047
"5","ac3A","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.112
"6","ac3B","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.723
"7","ac4","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",-0.019
"8","Or1a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.078
"9","Or2a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.101
"10","Or7a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.139
"11","Or9a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.271
"12","Or10a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.019
"13","Or13a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.52
"14","Or19a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.252
"15","Or22a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.173
"16","Or22b","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.062
"18","Or23a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.198
"20","Or30a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.031
"21","Or33a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.03
"22","Or33b","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",-0.041
"24","Or35a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.708
"25","Or42a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.396
"26","Or42b","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.175
"27","Or43a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.451
"28","Or43b","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.332
"29","Or45a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.301
"30","Or45b","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.086
"32","Or47a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.121
"33","Or47b","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",-0.124
"34","Or49a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.143
"35","Or49b","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.025
"36","Or59a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.037
"37","Or59b","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.046
"39","Or65a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.021
"40","Or67a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.28
"41","Or67b","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.741
"42","Or67c","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.175
"44","Or71a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.118
"45","Or74a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.407
"46","Or82a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.042
"47","Or85a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.475
"48","Or85b","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.592
"49","Or85c","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.651
"52","Or85f","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.205
"53","Or88a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.032
"54","Or92a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.044
"55","Or94a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.086
"56","Or94b","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.101
"57","Or98a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.443
"58","Gr21a.Gr63a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",-0.067
"59","ab2B","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.237
"60","ab4B","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",-0.022
"61","ab5B","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.039
"64","ac1","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.072
"65","ac2","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.078
"66","ac3_noOr35a","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.039
"78","Or83c","ZSIAUFGUXNUGDI-UHFFFAOYSA-N",0.078
