"","ORs","Odor","Response"
"1","ac1A","XEKOWRVHYACXOJ-UHFFFAOYSA-N",-0.041
"3","ac2A","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.021
"5","ac3A","XEKOWRVHYACXOJ-UHFFFAOYSA-N",-0.019
"6","ac3B","XEKOWRVHYACXOJ-UHFFFAOYSA-N",-0.019
"7","ac4","XEKOWRVHYACXOJ-UHFFFAOYSA-N",-0.056
"8","Or1a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.011
"9","Or2a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",-0.002
"10","Or7a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.055
"11","Or9a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.163
"12","Or10a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.026
"13","Or13a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.076
"14","Or19a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0
"15","Or22a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.181
"16","Or22b","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.011
"18","Or23a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.01
"20","Or30a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.017
"21","Or33a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.013
"22","Or33b","XEKOWRVHYACXOJ-UHFFFAOYSA-N",-0.004
"23","Or33c","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.156
"24","Or35a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.014
"25","Or42a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.723
"26","Or42b","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.61
"27","Or43a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",-0.008
"28","Or43b","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.477
"29","Or45a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.111
"30","Or45b","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.027
"31","Or46a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",-0.072
"32","Or47a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.279
"33","Or47b","XEKOWRVHYACXOJ-UHFFFAOYSA-N",-0.006
"34","Or49a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.042
"35","Or49b","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.011
"36","Or59a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.137
"37","Or59b","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.581
"38","Or59c","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.072
"39","Or65a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",-0.004
"40","Or67a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.059
"41","Or67b","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.078
"42","Or67c","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.057
"44","Or71a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.008
"45","Or74a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.041
"46","Or82a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.022
"47","Or85a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.178
"48","Or85b","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.063
"49","Or85c","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.079
"50","Or85d","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.09
"51","Or85e","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.565
"52","Or85f","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.042
"53","Or88a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.011
"54","Or92a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.125
"55","Or94a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.002
"56","Or94b","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.049
"57","Or98a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.036
"58","Gr21a.Gr63a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.038
"59","ab2B","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.023
"60","ab4B","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.011
"61","ab5B","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.099
"64","ac1","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.023
"65","ac2","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.012
"66","ac3_noOr35a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.103
"67","Ir31a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",-0.004
"68","Ir41a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",-0.034
"69","Ir75a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",-0.039
"70","Ir75d","XEKOWRVHYACXOJ-UHFFFAOYSA-N",-0.018
"71","Ir76a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",-0.015
"72","Ir84a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",-0.026
"73","Ir92a","XEKOWRVHYACXOJ-UHFFFAOYSA-N",-0.019
"74","Ir64a.DC4","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.278
"75","Ir64a.DP1m","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.033
"76","ac1BC","XEKOWRVHYACXOJ-UHFFFAOYSA-N",-0.002
"77","ac2BC","XEKOWRVHYACXOJ-UHFFFAOYSA-N",-0.001
"78","Or83c","XEKOWRVHYACXOJ-UHFFFAOYSA-N",0.23
