"","ORs","Odor","Response"
"1","ac1A","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.063
"2","ac1B","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.044
"3","ac2A","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.041
"4","ac2B","CATSNJVOTSVZJV-UHFFFAOYSA-N",-0.024
"5","ac3A","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.025
"6","ac3B","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.153
"7","ac4","CATSNJVOTSVZJV-UHFFFAOYSA-N",-0.02
"8","Or1a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.114
"9","Or2a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.128
"10","Or7a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.048
"11","Or9a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.28
"12","Or10a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.016
"13","Or13a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.263
"14","Or19a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.275
"15","Or22a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.262
"16","Or22b","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.083
"18","Or23a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.141
"20","Or30a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.043
"21","Or33a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.064
"22","Or33b","CATSNJVOTSVZJV-UHFFFAOYSA-N",-0.031
"23","Or33c","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.3
"24","Or35a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.323
"25","Or42a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.459
"26","Or42b","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.044
"27","Or43a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.142
"28","Or43b","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.27
"29","Or45a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.553
"30","Or45b","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.058
"31","Or46a","CATSNJVOTSVZJV-UHFFFAOYSA-N",-0.083
"32","Or47a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.581
"33","Or47b","CATSNJVOTSVZJV-UHFFFAOYSA-N",-0.013
"34","Or49a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.153
"35","Or49b","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.011
"36","Or59a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.077
"37","Or59b","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.044
"38","Or59c","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.144
"39","Or65a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.104
"40","Or67a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.323
"41","Or67b","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.547
"42","Or67c","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.066
"44","Or71a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.045
"45","Or74a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.223
"46","Or82a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.036
"47","Or85a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.11
"48","Or85b","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.648
"49","Or85c","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.652
"50","Or85d","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.508
"51","Or85e","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.145
"52","Or85f","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.154
"53","Or88a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.039
"54","Or92a","CATSNJVOTSVZJV-UHFFFAOYSA-N",-0.004
"55","Or94a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.055
"56","Or94b","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.129
"57","Or98a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.623
"58","Gr21a.Gr63a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.017
"59","ab2B","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.004
"60","ab4B","CATSNJVOTSVZJV-UHFFFAOYSA-N",-0.027
"61","ab5B","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.448
"63","Or69a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.347
"64","ac1","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.013
"65","ac2","CATSNJVOTSVZJV-UHFFFAOYSA-N",-0.027
"66","ac3_noOr35a","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.087
"78","Or83c","CATSNJVOTSVZJV-UHFFFAOYSA-N",0.124
