"","ORs","Odor","Response"
"1","ac1A","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.044
"2","ac1B","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.009
"3","ac2A","AMQJEAYHLZJPGS-UHFFFAOYSA-N",-0.033
"4","ac2B","AMQJEAYHLZJPGS-UHFFFAOYSA-N",-0.062
"5","ac3A","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.048
"6","ac3B","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.695
"7","ac4","AMQJEAYHLZJPGS-UHFFFAOYSA-N",-0.019
"9","Or2a","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.092
"10","Or7a","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.319
"11","Or9a","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.391
"12","Or10a","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.034
"14","Or19a","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.185
"15","Or22a","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.394
"18","Or23a","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.248
"22","Or33b","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.101
"24","Or35a","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.566
"27","Or43a","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.26
"28","Or43b","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.446
"32","Or47a","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.167
"33","Or47b","AMQJEAYHLZJPGS-UHFFFAOYSA-N",-0.088
"35","Or49b","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.088
"37","Or59b","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.116
"39","Or65a","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.003
"40","Or67a","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.271
"42","Or67c","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.415
"46","Or82a","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.147
"47","Or85a","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.136
"48","Or85b","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.508
"52","Or85f","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.182
"53","Or88a","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.017
"57","Or98a","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.233
"64","ac1","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.018
"65","ac2","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.006
"66","ac3_noOr35a","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.044
"78","Or83c","AMQJEAYHLZJPGS-UHFFFAOYSA-N",0.152
