"","ORs","Odor","Response"
"7","ac4","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.022
"9","Or2a","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.011
"10","Or7a","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.105
"11","Or9a","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.076
"12","Or10a","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.036
"14","Or19a","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",-0.021
"15","Or22a","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.111
"18","Or23a","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.013
"22","Or33b","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.093
"24","Or35a","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.09
"27","Or43a","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",-0.034
"28","Or43b","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.047
"32","Or47a","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.009
"33","Or47b","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",-0.056
"35","Or49b","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.011
"37","Or59b","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.021
"39","Or65a","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.007
"40","Or67a","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",-0.005
"42","Or67c","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.04
"46","Or82a","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.028
"47","Or85a","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.055
"48","Or85b","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.03
"52","Or85f","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.008
"53","Or88a","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",-0.025
"57","Or98a","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.009
"58","Gr21a.Gr63a","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",-0.012
"64","ac1","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.081
"65","ac2","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.022
"66","ac3_noOr35a","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0.084
"78","Or83c","LFQSCWFLJHTTHZ-UHFFFAOYSA-N",0
