"","ORs","Odor","Response"
"1","ac1A","HIGQPQRQIQDZMP-DHZHZOJOSA-N",-0.044
"3","ac2A","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.016
"5","ac3A","HIGQPQRQIQDZMP-DHZHZOJOSA-N",-0.016
"6","ac3B","HIGQPQRQIQDZMP-DHZHZOJOSA-N",-0.006
"7","ac4","HIGQPQRQIQDZMP-DHZHZOJOSA-N",-0.025
"8","Or1a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.011
"9","Or2a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.004
"10","Or7a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.049
"11","Or9a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.025
"12","Or10a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.019
"13","Or13a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.116
"14","Or19a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.014
"15","Or22a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",-0.007
"16","Or22b","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0
"18","Or23a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.013
"20","Or30a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",-0.005
"21","Or33a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.009
"22","Or33b","HIGQPQRQIQDZMP-DHZHZOJOSA-N",-0.003
"24","Or35a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",-0.028
"25","Or42a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.063
"26","Or42b","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.027
"27","Or43a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",-0.035
"28","Or43b","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.054
"29","Or45a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.093
"30","Or45b","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.005
"32","Or47a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",-0.025
"33","Or47b","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.008
"34","Or49a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.032
"35","Or49b","HIGQPQRQIQDZMP-DHZHZOJOSA-N",-0.001
"36","Or59a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0
"37","Or59b","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.038
"38","Or59c","HIGQPQRQIQDZMP-DHZHZOJOSA-N",-0.006
"39","Or65a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",-0.012
"40","Or67a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.016
"41","Or67b","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.05
"42","Or67c","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.016
"44","Or71a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",-0.008
"45","Or74a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.002
"46","Or82a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.706
"47","Or85a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",-0.003
"48","Or85b","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.062
"49","Or85c","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.048
"50","Or85d","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.034
"52","Or85f","HIGQPQRQIQDZMP-DHZHZOJOSA-N",-0.015
"53","Or88a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.002
"54","Or92a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.011
"55","Or94a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",-0.005
"56","Or94b","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.011
"57","Or98a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.192
"58","Gr21a.Gr63a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.025
"59","ab2B","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.001
"60","ab4B","HIGQPQRQIQDZMP-DHZHZOJOSA-N",-0.027
"61","ab5B","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.042
"63","Or69a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.38
"64","ac1","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.072
"65","ac2","HIGQPQRQIQDZMP-DHZHZOJOSA-N",-0.028
"66","ac3_noOr35a","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.084
"76","ac1BC","HIGQPQRQIQDZMP-DHZHZOJOSA-N",-0.001
"77","ac2BC","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0
"78","Or83c","HIGQPQRQIQDZMP-DHZHZOJOSA-N",0.244
