"","ORs","Odor","Response"
"1","ac1A","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.044
"2","ac1B","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.031
"3","ac2A","AOGQPLXWSUTHQB-UHFFFAOYSA-N",-0.021
"4","ac2B","AOGQPLXWSUTHQB-UHFFFAOYSA-N",-0.018
"5","ac3A","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.036
"6","ac3B","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.652
"7","ac4","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.048
"9","Or2a","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.075
"10","Or7a","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.019
"11","Or9a","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.139
"12","Or10a","AOGQPLXWSUTHQB-UHFFFAOYSA-N",-0.014
"13","Or13a","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.331
"14","Or19a","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.111
"15","Or22a","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.303
"18","Or23a","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.004
"22","Or33b","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.019
"24","Or35a","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.619
"26","Or42b","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.054
"27","Or43a","AOGQPLXWSUTHQB-UHFFFAOYSA-N",-0.014
"28","Or43b","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.071
"32","Or47a","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.614
"33","Or47b","AOGQPLXWSUTHQB-UHFFFAOYSA-N",-0.085
"35","Or49b","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.006
"37","Or59b","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.081
"39","Or65a","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.118
"40","Or67a","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.097
"41","Or67b","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.084
"42","Or67c","AOGQPLXWSUTHQB-UHFFFAOYSA-N",-0.005
"46","Or82a","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.052
"47","Or85a","AOGQPLXWSUTHQB-UHFFFAOYSA-N",-0.018
"48","Or85b","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.053
"52","Or85f","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.008
"53","Or88a","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.006
"54","Or92a","AOGQPLXWSUTHQB-UHFFFAOYSA-N",-0.022
"57","Or98a","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.242
"59","ab2B","AOGQPLXWSUTHQB-UHFFFAOYSA-N",-0.002
"60","ab4B","AOGQPLXWSUTHQB-UHFFFAOYSA-N",-0.039
"63","Or69a","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.509
"64","ac1","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.137
"65","ac2","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.116
"66","ac3_noOr35a","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.086
"78","Or83c","AOGQPLXWSUTHQB-UHFFFAOYSA-N",0.06
