"","ORs","Odor","Response"
"7","ac4","MQWCXKGKQLNYQG-UHFFFAOYSA-N",-0.063
"10","Or7a","MQWCXKGKQLNYQG-UHFFFAOYSA-N",0.06
"12","Or10a","MQWCXKGKQLNYQG-UHFFFAOYSA-N",0.131
"13","Or13a","MQWCXKGKQLNYQG-UHFFFAOYSA-N",0.078
"14","Or19a","MQWCXKGKQLNYQG-UHFFFAOYSA-N",-0.048
"15","Or22a","MQWCXKGKQLNYQG-UHFFFAOYSA-N",0.254
"25","Or42a","MQWCXKGKQLNYQG-UHFFFAOYSA-N",0.061
"26","Or42b","MQWCXKGKQLNYQG-UHFFFAOYSA-N",-0.012
"33","Or47b","MQWCXKGKQLNYQG-UHFFFAOYSA-N",0.011
"35","Or49b","MQWCXKGKQLNYQG-UHFFFAOYSA-N",0.03
"37","Or59b","MQWCXKGKQLNYQG-UHFFFAOYSA-N",0.031
"41","Or67b","MQWCXKGKQLNYQG-UHFFFAOYSA-N",0.876
"42","Or67c","MQWCXKGKQLNYQG-UHFFFAOYSA-N",0.048
"44","Or71a","MQWCXKGKQLNYQG-UHFFFAOYSA-N",0.083
"46","Or82a","MQWCXKGKQLNYQG-UHFFFAOYSA-N",0.024
"48","Or85b","MQWCXKGKQLNYQG-UHFFFAOYSA-N",0.08
"54","Or92a","MQWCXKGKQLNYQG-UHFFFAOYSA-N",-0.019
"57","Or98a","MQWCXKGKQLNYQG-UHFFFAOYSA-N",0.085
"59","ab2B","MQWCXKGKQLNYQG-UHFFFAOYSA-N",0.014
"60","ab4B","MQWCXKGKQLNYQG-UHFFFAOYSA-N",0.274
"61","ab5B","MQWCXKGKQLNYQG-UHFFFAOYSA-N",-0.002
"63","Or69a","MQWCXKGKQLNYQG-UHFFFAOYSA-N",0.635
"64","ac1","MQWCXKGKQLNYQG-UHFFFAOYSA-N",0.105
"65","ac2","MQWCXKGKQLNYQG-UHFFFAOYSA-N",-0.024
"66","ac3_noOr35a","MQWCXKGKQLNYQG-UHFFFAOYSA-N",-0.002
"78","Or83c","MQWCXKGKQLNYQG-UHFFFAOYSA-N",0.078
