"","ORs","Odor","Response"
"1","ac1A","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.077
"2","ac1B","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.044
"3","ac2A","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.1
"4","ac2B","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.056
"5","ac3A","PGMYKACGEOXYJE-UHFFFAOYSA-N",-0.024
"6","ac3B","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.676
"7","ac4","PGMYKACGEOXYJE-UHFFFAOYSA-N",-0.015
"8","Or1a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.092
"9","Or2a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.13
"10","Or7a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.055
"11","Or9a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.242
"12","Or10a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.03
"13","Or13a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.395
"14","Or19a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.269
"15","Or22a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.457
"16","Or22b","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.072
"18","Or23a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.113
"20","Or30a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.021
"21","Or33a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.021
"22","Or33b","PGMYKACGEOXYJE-UHFFFAOYSA-N",-0.049
"24","Or35a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.571
"25","Or42a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.1
"26","Or42b","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.255
"27","Or43a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.054
"28","Or43b","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.351
"29","Or45a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.564
"30","Or45b","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.056
"32","Or47a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.817
"33","Or47b","PGMYKACGEOXYJE-UHFFFAOYSA-N",-0.064
"34","Or49a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.13
"35","Or49b","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.022
"36","Or59a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.073
"37","Or59b","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.105
"39","Or65a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.097
"40","Or67a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.374
"41","Or67b","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.366
"42","Or67c","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.049
"45","Or74a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.076
"46","Or82a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.033
"47","Or85a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.087
"48","Or85b","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.557
"49","Or85c","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.651
"52","Or85f","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.103
"53","Or88a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.018
"54","Or92a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.029
"55","Or94a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.055
"56","Or94b","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.121
"57","Or98a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.636
"58","Gr21a.Gr63a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.134
"59","ab2B","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.014
"60","ab4B","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.241
"61","ab5B","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.925
"64","ac1","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.045
"65","ac2","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.119
"66","ac3_noOr35a","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.064
"67","Ir31a","PGMYKACGEOXYJE-UHFFFAOYSA-N",-0.009
"68","Ir41a","PGMYKACGEOXYJE-UHFFFAOYSA-N",-0.052
"69","Ir75a","PGMYKACGEOXYJE-UHFFFAOYSA-N",-0.05
"70","Ir75d","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.002
"71","Ir76a","PGMYKACGEOXYJE-UHFFFAOYSA-N",-0.017
"72","Ir84a","PGMYKACGEOXYJE-UHFFFAOYSA-N",-0.051
"73","Ir92a","PGMYKACGEOXYJE-UHFFFAOYSA-N",-0.026
"74","Ir64a.DC4","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.271
"75","Ir64a.DP1m","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.061
"78","Or83c","PGMYKACGEOXYJE-UHFFFAOYSA-N",0.014
