"","ORs","Odor","Response"
"1","ac1A","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.066
"2","ac1B","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.044
"3","ac2A","LRHPLDYGYMQRHN-UHFFFAOYSA-N",-0.054
"4","ac2B","LRHPLDYGYMQRHN-UHFFFAOYSA-N",-0.071
"5","ac3A","LRHPLDYGYMQRHN-UHFFFAOYSA-N",-0.021
"6","ac3B","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.706
"7","ac4","LRHPLDYGYMQRHN-UHFFFAOYSA-N",-0.02
"8","Or1a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.036
"9","Or2a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.078
"10","Or7a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.295
"11","Or9a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.278
"12","Or10a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.01
"13","Or13a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.216
"14","Or19a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.102
"15","Or22a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.27
"18","Or23a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.178
"20","Or30a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.032
"21","Or33a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.034
"22","Or33b","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.002
"24","Or35a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.63
"25","Or42a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.228
"26","Or42b","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.018
"27","Or43a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",-0.005
"28","Or43b","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.323
"29","Or45a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.19
"30","Or45b","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.135
"32","Or47a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.07
"33","Or47b","LRHPLDYGYMQRHN-UHFFFAOYSA-N",-0.065
"34","Or49a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.095
"35","Or49b","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.036
"36","Or59a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.068
"37","Or59b","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.084
"39","Or65a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",-0.007
"40","Or67a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.125
"41","Or67b","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.527
"42","Or67c","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.076
"44","Or71a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.025
"45","Or74a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.052
"46","Or82a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.071
"47","Or85a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.007
"48","Or85b","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.128
"49","Or85c","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.119
"52","Or85f","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.082
"53","Or88a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0
"54","Or92a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",-0.014
"55","Or94a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.069
"56","Or94b","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.022
"57","Or98a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.03
"58","Gr21a.Gr63a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.069
"59","ab2B","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.01
"61","ab5B","LRHPLDYGYMQRHN-UHFFFAOYSA-N",-0.017
"64","ac1","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.013
"65","ac2","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.131
"66","ac3_noOr35a","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.055
"78","Or83c","LRHPLDYGYMQRHN-UHFFFAOYSA-N",0.078
