"","ORs","Odor","Response"
"7","ac4","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.034
"9","Or2a","GLZPCOQZEFWAFX-JXMROGBWSA-N",-0.001
"10","Or7a","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.053
"11","Or9a","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.007
"12","Or10a","GLZPCOQZEFWAFX-JXMROGBWSA-N",-0.012
"13","Or13a","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.073
"14","Or19a","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.017
"15","Or22a","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.044
"18","Or23a","GLZPCOQZEFWAFX-JXMROGBWSA-N",-0.013
"22","Or33b","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.032
"24","Or35a","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.008
"26","Or42b","GLZPCOQZEFWAFX-JXMROGBWSA-N",-0.028
"27","Or43a","GLZPCOQZEFWAFX-JXMROGBWSA-N",-0.061
"28","Or43b","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.003
"32","Or47a","GLZPCOQZEFWAFX-JXMROGBWSA-N",-0.011
"33","Or47b","GLZPCOQZEFWAFX-JXMROGBWSA-N",-0.017
"35","Or49b","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.007
"37","Or59b","GLZPCOQZEFWAFX-JXMROGBWSA-N",-0.01
"39","Or65a","GLZPCOQZEFWAFX-JXMROGBWSA-N",-0.007
"40","Or67a","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.095
"41","Or67b","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.05
"42","Or67c","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.034
"46","Or82a","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.075
"47","Or85a","GLZPCOQZEFWAFX-JXMROGBWSA-N",-0.009
"48","Or85b","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.077
"52","Or85f","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.004
"53","Or88a","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.014
"54","Or92a","GLZPCOQZEFWAFX-JXMROGBWSA-N",-0.016
"57","Or98a","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.278
"58","Gr21a.Gr63a","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.097
"60","ab4B","GLZPCOQZEFWAFX-JXMROGBWSA-N",-0.044
"63","Or69a","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.596
"64","ac1","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.079
"65","ac2","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.014
"66","ac3_noOr35a","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.107
"78","Or83c","GLZPCOQZEFWAFX-JXMROGBWSA-N",0.046
